OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,618,2.859
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,822,3.239
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233333
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,320,3.099
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,435,3.36733333
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.299
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,365,3.799
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,225,3.41233333
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,165,3.899
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,815,3.63566666
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.299
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.249
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.439
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.349
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.559
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,835,3.749
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.689
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.699
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.739
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,693,3.299
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059
546,PLAZA 30,US-30,Wanatah,IN,365,3.499
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.879
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39948962
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39625375
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40695023
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40630048
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39722401
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.3981947
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.39948962
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59317483
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59114784
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60163996
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59216111
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60231851
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499
692,BP,US-63,Ottumwa,IA,489,3.399
739,Arco #364420,US-23,Greenup,KY,255,3.649
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,615,3.12566666
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,695,3.03233333
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,930,3.39233333
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,825,3.53233333
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,900,3.56566666
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.449
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.399
1042,Union 76,US-441 & SR-100A,Lake City,FL,75,3.56233333
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.259
1043,SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.244
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,20,3.60733333
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.43233333
1075,PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.399
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,16,3.399
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,527,3.399
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,565,3.58233333
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,787,3.799
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.819
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.879
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.779
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.769
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,293,3.249
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.399
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.499
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.599
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,280,3.499
1149,PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,375,3.959
1149,PILOT TRAVEL CENTERS #30,"I-70, EXIT 96",Greenfield,IN,375,3.959
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,375,3.759
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,595,3.199
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,375,3.599
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute                             ,IN,510,3.43566666
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,365,3.869
1158,PILOT TRAVEL CENTER #36,US-30  & SR-49,Valparaiso,IN,365,3.859
1163,SHORT STOP #13,US-54,Emporia,KS,553,2.839
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,410,3.20566666
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,415,3.609
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,725,3.384
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,178,3.68233333
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,22,3.599
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.549
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.349
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.439
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.399
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.499
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.099
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.599
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.559
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,515,3.374
1218,CASEYS #3658,SR-210,Pillager,MN,522,3.299
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,494,3.01566666
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,416,3.199
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,494,3.01566666
1240,TEMP STOP #103,US-65,Sedalia,MO,400,3.199
1247,SNAPPY MART #11,US-63 & SR-14,West Plains,MO,535,3.299
1251,MAPCO #3009,US-72,Corinth,MS,435,3.154
1256,DOUBLE QUICK #89,US-82/US-278,Greenville,MS,655,3.25566666
1265,JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,435,2.97233333
1304,LOVES TRAVEL STOP #667,"I-85, EXIT 152",Mebane,NC,65,3.94733333
1315,CIRCLE K #2720218,US-421 BUS & US-15/US-501/US-1,Sanford,NC,177,3.08233333
1325,SCOTCHMAN #3303,US-421 & US-74,Wilmington,NC,245,3.629
1326,SPEEDWAY #7949,US-301/US-264 ALT & CR-1674,Wilson,NC,205,3.199
1333,PUMP & PANTRY #15,US-30,Grand Island,NE,330,3.30733333
1340,BORDENTOWN VALERO,"NJ TNPK, EXIT 7 & US-206",Bordentown,NJ,230,3.499
1342,Delta,"I-80, EXIT 47B",Fairfield,NJ,115,3.20233333
1344,BOLLA TRUCK STOP #193,US-202 & SR-17,Mahwah,NJ,115,3.53233333
1348,GLOBAL,SR-73,Palmyra,NJ,150,3.359
1356,LOVES TRAVEL STOP #257,"I-40 & HORIZON, EXIT 79",Milan,NM,580,3.59066666
1364,7- ELEVEN #40507,"I-80/I-90, MM 56 WB",Rolling Prairie,IN,465,3.98233333
1372,PILOT TRAVEL CENTER #469,"I-77, EXIT 101 & SR-627",Canton,OH,249,3.62233333
1376,FUEL MART #782,"I-75, EXIT 118",Lima                                    ,OH,411,3.08566666
1379,TA LODI TRAVEL CENTER,"I-71, EXIT 209 & I-76/US-224, EXIT 1",Seville,OH,305,3.739
1384,SUNOCO,"I-80/I-90, EXIT 13 & US-20ALT/SR-15",Montpelier,OH,550,3.41566666
1391,ONCUE EXPRESS #2045,"I-35, EXIT 203 & SR-15",Billings,OK,500,3.21566666
1395,DOMINO FOOD AND FUEL #1,"I-40, EXIT 66",Clinton                                 ,OK,483,3.099
1404,ONE9 #339,"I-74, EXIT 4 & SR-63",Covington,IN,375,3.26233333
1414,SAC SHOP #507,"I-70, EXIT 12/161",Breezewood                              ,PA,14,4.099
1424,GETTYSBURG TRAVEL PLAZA,US-15 & SR-394,Gettysburg,PA,70,3.899
1428,CIRCLE K #4702408,"I-65, EXIT 168 & SR-38/SR-25",Lafayette,IN,375,3.43233333
1432,KWIK FILL #259,"I-81, EXIT 57",Mechanicsburg                           ,PA,70,4.049
1444,PILOT TRAVEL CENTERS #346,"I-20, EXIT 92 & US-601",Lugoff,SC,135,3.43233333
1445,PILOT TRAVEL CENTERS #402,"I-80, EXIT 367",Cheyenne,WY,795,3.709
1447,HOT SPOT #3005,US-221,Chesnee,SC,210,3.199
1453,EXPRESS STOP,US-278/SR-101/SR-6 & SR-113,Rockmart,GA,193,3.319
1455,PETRO FLORENCE,"I-95, EXIT 169",Florence,SC,46,3.32566666
1461,CIRCLE K #2705370,"I-26, EXIT 15 & US-176",Inman,SC,210,3.099
1464,CIRCLE K #2723254,"I-20, EXIT 55 & SR-6",Lexington,SC,135,3.199
1470,CIRCLE K #2705348,US-1,Beech Island,SC,135,3.159
1479,TA SPARTANBURG TRAVEL CENTER,"I-85, EXIT 63 & SR-290",Duncan,SC,210,3.43233333
1487,ROADRUNNER MARKET #6019,"I-81, EXIT 36 NORTH",Greeneville                             ,TN,405,3.499
1492,MAPCO #3538,"I-24, EXIT 174",Chattanooga,TN,285,2.899
1507,CIRCLE K #4703941,"I-55, EXIT 5A",Memphis,TN,435,3.189
1516,LOVES TRAVEL STOP #261,I-27 EXIT 116,Amarillo,TX,585,3.23233333
1531,CircleK #4702365,"I-74, EXIT 112 & SR-9",Shelbyville,IN,375,3.509
1533,YESWAY #1157,US-62,Brownfield,TX,700,2.99233333
1546,SHELL,"I-35, EXIT 86 & SR-85",Dilley,TX,740,3.099
1548,TOOT N TOTUM #107,US-287,Dumas,TX,585,3.03233333
1552,STRIPES #40911,US-59 & SR-16,Freer,TX,625,3.099
1555,SEIBERT TRAVEL PLAZA,"I-70, EXIT 405 & SR-59",Seibert,CO,800,3.499
1560,CATTREZ,US-20 & SR-5,Irving,NY,38,2.899
1560,CATTREZ,US-20 & SR-5,Irving,NY,38,2.999
1562,I MART #108,"I-40, EXIT 108",Wildersville                            ,TN,435,3.099
1567,KUM & GO #4110,"I-235, EXIT 11",Des Moines,IA,320,3.02733333
1579,FLYING J TRAVEL PLAZA #924- TOWN PUMP,"I-15, EXIT 122 & I-90 MM220",Butte                                   ,MT,816,3.56566666
1582,LOVES TRAVEL STOP #250,I-40 EXIT 60,Amarillo,TX,585,3.314
1585,Stripes 7Fleet #42498,US-385 & CR-1910,Andrews,TX,710,3.369
1590,ROAD RANGER #240,"I-80 & I-94, EXIT 15-A",Lake Station,IN,365,3.559
1596,FLYING J #305,"I-40, EXIT 39",Jamestown,NM,580,3.44233333
1597,7-ELEVEN #36156,"I-70 & SR-519, EXIT 25/333",Eighty Four,PA,165,4.999
1599,ONVO TRAVEL PLAZA,"I-81, EXIT 10",Mc Graw,NY,220,3.439
1599,ONVO TRAVEL PLAZA,"I-81, EXIT 10",Mc Graw,NY,220,3.459
1602,CIRCLE K #2723387,US-98,Beaumont,MS,620,3.56566666
1606,DONNAS TRAVEL PLAZA,"I-5, EXIT 202",Marysville,WA,962,4.559
1610,TA BALTIMORE TRAVEL CENTER,"I-95, EXIT 57",Baltimore                               ,MD,22,4.759
1618,GO MART FOOD STORE #33,US-33,Ripley                                  ,WV,44,3.499
1621,CIRCLE K #2709337,"I-65, EXIT 262B",Birmingham                              ,AL,615,3.489
1622,RACEWAY #6973,US-380 & SR-114/SR-101,Bridgeport,TX,630,2.78233333
1623,SAPP BROS TRAVEL CENTER,"I-70 & I-270, EXIT 278",Commerce City,CO,800,3.389
1625,PILOT TRAVEL CENTERS #60,"I-26, EXIT 159",Bowman                                  ,SC,42,3.43233333
1632,PILOT TRAVEL CENTERS #266,"I-10, EXIT 139 & SR-292",Las Cruces                              ,NM,640,3.19066666
1633,7-ELEVEN #36302,"I-35, EXIT 144",Von Ormy,TX,740,3.109
1634,PILOT TRAVEL CENTERS #40,"I-94, EXIT 322",Oak Creek,WI,444,3.889
1644,ALLSUPS CONVENIENCE STORE #2414,"I-20, EXIT 235",Roscoe,TX,575,2.929
1646,SPEEDWAY #8310,US-6  & US-31,Plymouth,IN,465,3.609
1647,SPEEDWAY #8305,US-41 & SR-312,Hammond,IN,290,3.76566666
1653,ROAD RANGER #187,"I-55, EXIT 289",Chicago,IL,520,3.569
1653,ROAD RANGER #187,"I-55, EXIT 289",Chicago,IL,520,3.599
